cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,9750,80,20180404_060051_c77f,9750,vagrant,300,142,1223,2235,2232.575992,695.591549296,1625.1971831,1622.35046974,698.0,1623.0,1620.4447505,619,1535,1532.027471,52.2599346886,64.8248169567,64.8227628702
webclient,8000,60,20180327_181126_5eb0,8000,vagrant,300,127,754,1857,1854.372488,708.763779528,1784.77952756,1781.96828357,707.0,1784.0,1780.760819,694,1765,1762.643981,8.59908133979,11.919621477,11.8692029618
webclient,6000,200,20180319_045955_be0d,6000,vagrant,300,97,1852,3625,3622.084437,1207.36082474,2954.5257732,2951.33476337,1193.0,2936.0,2932.335397,1170,2765,2761.919779,69.772706915,94.7406762035,94.9568405501
webclient,10250,120,20180403_190049_2e4d,10250,vagrant,300,157,900,1938,1934.089591,748.700636943,1707.70700637,1704.57782787,746.0,1702.0,1700.160945,728,1639,1636.624452,16.4756005538,40.3276802959,40.461971382
webclient,9000,200,20180327_221350_7517,9000,vagrant,300,115,1748,3637,3633.030093,1158.72173913,2470.26086957,2467.14971981,1150.0,2444.0,2441.262501,1139,2346,2343.114843,59.1001431362,141.224402803,141.165040719
webclient,7000,100,20180319_100409_2978,7000,vagrant,300,126,962,2804,2271.367396,893.928571429,2214.26190476,2206.37395283,896.0,2222.0,2218.3012305,796,2080,2077.578057,19.5891039406,66.3964976332,40.1233946504
webclient,250,80,20180318_110920_abfd,250,vagrant,600,10,16630,50080,50076.751075,16550.6,49744.2,49740.9688176,16565.0,49730.5,49727.23562,16409,49525,49521.830271,60.8608248383,134.74553796,134.763882122
webclient,3250,80,20180318_150047_7270,3250,vagrant,300,70,1502,4550,4117.610784,1490.7,4085.0,4074.59424167,1491.0,4077.5,4073.902579,1478,4066,4062.885514,6.16522505672,56.4444100737,7.25286823969
webclient,10250,60,20180403_184522_3bf9,10250,vagrant,300,146,654,1556,1552.915118,606.465753425,1457.59589041,1454.90302627,607.5,1454.0,1451.7888765,565,1405,1401.718823,11.1128485329,21.221460696,21.2680383328
webclient,6000,180,20180319_055638_75f3,6000,vagrant,300,101,1353,3063,2980.383111,1135.11881188,2834.41584158,2829.75501841,1138.0,2825.0,2822.086031,1081,2651,2648.415825,40.6589990109,83.9653709062,81.2675061904
webclient,4250,140,20180318_194427_b364,4250,vagrant,300,83,1533,3684,3681.205892,1356.3253012,3471.8313253,3468.59284924,1355.0,3465.0,3461.365815,1327,3391,3388.585095,22.550136074,44.8294812843,44.7697543961
webclient,3000,100,20180318_135853_749c,3000,vagrant,300,62,1651,4513,4508.953669,1633.64516129,4487.33870968,4483.58274168,1635.0,4492.0,4488.515788,1574,4397,4392.675415,10.0692710025,19.1470906982,19.1364937352
webclient,2000,120,20180318_070258_d568,2000,vagrant,600,89,2365,6578,6574.271345,2350.8988764,6565.06741573,6561.06423439,2351.0,6565.0,6561.165207,2337,6556,6552.958794,4.69052342212,4.48166740843,4.27845624945
webclient,1000,160,20180317_223426_c110,1000,vagrant,600,45,4479,12842,12838.526844,4466.51111111,12828.3555556,12824.7138094,4467.0,12829.0,12825.263988,4460,12805,12801.82315,3.82170539141,5.1903994946,5.19679957683
webclient,4500,240,20180318_202034_8e3e,4500,vagrant,300,76,1549,3922,3919.405218,1486.34210526,3737.05263158,3733.92827171,1505.0,3735.5,3732.229568,1420,3498,3495.756777,42.5006354849,95.1126610003,95.012146661
